,items,support,count,
193,"{keyAlg=\RSA\""}""",0.938120154,69207,
194,"{sigAlg=\SHA256withRSA\""}""",0.932670932,68805,
192,"{keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.925866182,68303
195,{keySize=2048},0.856991813,63222,
190,"{keySize=2048,keyAlg=\RSA\""}""",0.856978257,63221,
189,"{keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.847977552,62557
191,"{keySize=2048,sigAlg=\SHA256withRSA\""}""",0.847977552,62557,
196,{rating=A},0.396613891,29259,
187,"{rating=A,sigAlg=\SHA256withRSA\""}""",0.361532831,26671,
186,"{rating=A,keyAlg=\RSA\""}""",0.358767554,26467,
185,"{rating=A,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.358428672,26442
183,"{rating=A,keySize=2048,keyAlg=\RSA\""}""",0.329501708,24308,
188,"{rating=A,keySize=2048}",0.329501708,24308,
182,"{rating=A,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.329257713,24290
184,"{rating=A,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.329257713,24290,
197,{rating=A+},0.143265738,10569,
198,{rating=B},0.136582985,10076,
180,"{rating=A+,sigAlg=\SHA256withRSA\""}""",0.135972998,10031,
179,"{rating=A+,keyAlg=\RSA\""}""",0.132679065,9788,
178,"{rating=A+,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.132597734,9782
173,"{rating=B,sigAlg=\SHA256withRSA\""}""",0.131567532,9706,
172,"{rating=B,keyAlg=\RSA\""}""",0.13145909,9698,
171,"{rating=B,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.131364203,9691
169,"{rating=B,keySize=2048,keyAlg=\RSA\""}""",0.122512606,9038,
174,"{rating=B,keySize=2048}",0.122512606,9038,
168,"{rating=B,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.122417719,9031
170,"{rating=B,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.122417719,9031,
176,"{rating=A+,keySize=2048,keyAlg=\RSA\""}""",0.110150192,8126,
181,"{rating=A+,keySize=2048}",0.110150192,8126,
175,"{rating=A+,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.110109527,8123
177,"{rating=A+,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.110109527,8123,
199,{rating=A-},0.098235103,7247,
165,"{rating=A-,keyAlg=\RSA\""}""",0.096418695,7113,
164,"{rating=A-,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.096323808,7106
166,"{rating=A-,sigAlg=\SHA256withRSA\""}""",0.096323808,7106,
162,"{rating=A-,keySize=2048,keyAlg=\RSA\""}""",0.091227024,6730,
167,"{rating=A-,keySize=2048}",0.091227024,6730,
161,"{rating=A-,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.091132137,6723
163,"{rating=A-,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.091132137,6723,
200,{rating=F},0.090657702,6688,
158,"{rating=F,keyAlg=\RSA\""}""",0.088000868,6492,
201,{rating=C},0.083703844,6175,
159,"{rating=F,sigAlg=\SHA256withRSA\""}""",0.083432739,6155,
157,"{rating=F,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.083419183,6154
155,"{rating=F,keySize=2048,keyAlg=\RSA\""}""",0.082904083,6116,
160,"{rating=F,keySize=2048}",0.082904083,6116,
151,"{rating=C,keyAlg=\RSA\""}""",0.081656997,6024,
152,"{rating=C,sigAlg=\SHA256withRSA\""}""",0.081616331,6021,
150,"{rating=C,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.081602776,6020
154,"{rating=F,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.079786369,5886
156,"{rating=F,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.079786369,5886,
148,"{rating=C,keySize=2048,keyAlg=\RSA\""}""",0.076885539,5672,
153,"{rating=C,keySize=2048}",0.076885539,5672,
147,"{rating=C,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.076844873,5669
149,"{rating=C,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.076844873,5669,
139,"{keySize=4096,keyAlg=\RSA\""}""",0.076817763,5667,
202,{keySize=4096},0.076817763,5667,
138,"{keySize=4096,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.076180665,5620
140,"{keySize=4096,sigAlg=\SHA256withRSA\""}""",0.076180665,5620,
203,{rating=T},0.050940736,3758,
116,"{rating=T,keyAlg=\RSA\""}""",0.049137884,3625,
118,"{rating=T,keySize=2048}",0.04381066,3232,
113,"{rating=T,keySize=2048,keyAlg=\RSA\""}""",0.043797105,3231,
117,"{rating=T,sigAlg=\SHA256withRSA\""}""",0.042224692,3115,
115,"{rating=T,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.042129805,3108
204,"{keyAlg=\EC\""}""",0.04039473,2980,
112,"{rating=T,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.038429214,2835
114,"{rating=T,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.038429214,2835,
