"","items","support","count"
"380","{attempts=2}",0.467759356730159,27283
"381","{BestRating=A}",0.422188694772575,24625
"378","{BestRating=A,PoorestRating=A}",0.396437327481269,23123
"382","{PoorestRating=A}",0.396437327481269,23123
"383","{attempts=1}",0.395442933804242,23065
"379","{attempts=2,BestRating=A}",0.184545750681503,10764
"376","{attempts=2,BestRating=A,PoorestRating=A}",0.180242426320572,10513
"377","{attempts=2,PoorestRating=A}",0.180242426320572,10513
"373","{attempts=1,BestRating=A,PoorestRating=A}",0.177293534726627,10341
"374","{attempts=1,BestRating=A}",0.177293534726627,10341
"375","{attempts=1,PoorestRating=A}",0.177293534726627,10341
"384","{PoorestRating=A+}",0.136197644315669,7944
"385","{BestRating=A+}",0.136111920722821,7939
"386","{PoorestRating=B}",0.133008726661752,7758
"368","{BestRating=A+,PoorestRating=A+}",0.131122807619113,7648
"387","{BestRating=B}",0.120321634920363,7018
"357","{BestRating=B,PoorestRating=B}",0.117029848955029,6826
"388","{BestRating=A-}",0.0999879986970014,5832
"389","{PoorestRating=F}",0.0955818060246541,5575
"390","{PoorestRating=A-}",0.095461792994668,5568
"336","{BestRating=A-,PoorestRating=A-}",0.0937473211377235,5468
"391","{BestRating=F}",0.0885181819740429,5163
"329","{BestRating=F,PoorestRating=F}",0.0882781559140707,5149
"392","{PoorestRating=C}",0.0841977128945428,4911
"393","{BestRating=C}",0.0780770483652511,4554
"315","{BestRating=C,PoorestRating=C}",0.0767740497539733,4478
"366","{attempts=2,BestRating=A+}",0.061840999879987,3607
"370","{attempts=2,PoorestRating=A+}",0.0615838291014453,3592
"364","{attempts=2,BestRating=A+,PoorestRating=A+}",0.0608294614843897,3548
"360","{attempts=2,PoorestRating=B}",0.0592350026574314,3455
"394","{PoorestRating=T}",0.0591149896274453,3448
"355","{attempts=2,BestRating=B}",0.0570061892434036,3325
"353","{attempts=2,BestRating=B,PoorestRating=B}",0.0564404135306119,3292
"296","{BestRating=T,PoorestRating=T}",0.0547945205479452,3196
"395","{BestRating=T}",0.0547945205479452,3196
"365","{attempts=1,BestRating=A+,PoorestRating=A+}",0.0526171412896257,3069
"367","{attempts=1,BestRating=A+}",0.0526171412896257,3069
"372","{attempts=1,PoorestRating=A+}",0.0526171412896257,3069
"349","{attempts=2,BestRating=A-}",0.0521199444511118,3040
"333","{attempts=2,PoorestRating=A-}",0.0515198793011813,3005
"330","{attempts=2,BestRating=A-,PoorestRating=A-}",0.0513655768340563,2996
"354","{attempts=1,BestRating=B,PoorestRating=B}",0.0477651859344729,2786
"356","{attempts=1,BestRating=B}",0.0477651859344729,2786
"362","{attempts=1,PoorestRating=B}",0.0477651859344729,2786
"396","{attempts=4}",0.0466850686645979,2723
"341","{attempts=2,PoorestRating=F}",0.0461192929518062,2690
"397","{attempts=3}",0.0460507140775284,2686
"327","{attempts=2,BestRating=F}",0.0453134911790423,2643
"325","{attempts=2,BestRating=F,PoorestRating=F}",0.0452792017419034,2641
"319","{attempts=2,PoorestRating=C}",0.0406844171652922,2373
"312","{attempts=2,BestRating=C}",0.0396900234882644,2315
"309","{attempts=2,BestRating=C,PoorestRating=C}",0.0394499974282922,2301
"331","{attempts=1,BestRating=A-,PoorestRating=A-}",0.0328835702161949,1918
"335","{attempts=1,PoorestRating=A-}",0.0328835702161949,1918
"350","{attempts=1,BestRating=A-}",0.0328835702161949,1918
"326","{attempts=1,BestRating=F,PoorestRating=F}",0.0323349392219727,1886
"328","{attempts=1,BestRating=F}",0.0323349392219727,1886
"343","{attempts=1,PoorestRating=F}",0.0323349392219727,1886
"310","{attempts=1,BestRating=C,PoorestRating=C}",0.0290774426937782,1696
"313","{attempts=1,BestRating=C}",0.0290774426937782,1696
"321","{attempts=1,PoorestRating=C}",0.0290774426937782,1696
"301","{attempts=2,PoorestRating=T}",0.0283745092324309,1655
"292","{attempts=2,BestRating=T,PoorestRating=T}",0.0272429578068476,1589
"294","{attempts=2,BestRating=T}",0.0272429578068476,1589
"293","{attempts=1,BestRating=T,PoorestRating=T}",0.0234711197215698,1369
"295","{attempts=1,BestRating=T}",0.0234711197215698,1369
"303","{attempts=1,PoorestRating=T}",0.0234711197215698,1369
"278","{attempts=4,BestRating=A}",0.0197164263548614,1150
"239","{attempts=3,BestRating=A}",0.0196821369177225,1148
"238","{attempts=3,BestRating=A,PoorestRating=A}",0.0140758139455141,821
"240","{attempts=3,PoorestRating=A}",0.0140758139455141,821
"277","{attempts=4,BestRating=A,PoorestRating=A}",0.0136300512627085,795
"279","{attempts=4,PoorestRating=A}",0.0136300512627085,795
"398","{attempts=6}",0.0116755533457918,681
"399","{attempts=5}",0.0115041061600974,671
