,items,support,count
33,{forwardSecrecy=4},0.445263786,32848
34,{rating=A},0.396613891,29259
35,{forwardSecrecy=2},0.262470856,19363
32,"{rating=A,forwardSecrecy=4}",0.223607873,16496
36,{forwardSecrecy=1},0.212858537,15703
31,"{rating=A,forwardSecrecy=2}",0.166607927,12291
37,{rating=A+},0.143265738,10569
38,{rating=B},0.136582985,10076
28,"{rating=A+,forwardSecrecy=4}",0.102274576,7545
39,{rating=A-},0.098235103,7247
40,{rating=F},0.090657702,6688
41,{rating=C},0.083703844,6175
24,"{rating=A-,forwardSecrecy=1}",0.076966871,5678
25,"{rating=B,forwardSecrecy=4}",0.059290788,4374
42,{forwardSecrecy=0},0.057406604,4235
43,{rating=T},0.050940736,3758
27,"{rating=B,forwardSecrecy=1}",0.049381879,3643
29,"{rating=A+,forwardSecrecy=2}",0.03821233,2819
18,"{rating=C,forwardSecrecy=1}",0.037222795,2746
21,"{rating=F,forwardSecrecy=1}",0.033671312,2484
19,"{rating=F,forwardSecrecy=4}",0.023559074,1738
44,{forwardSecrecy=null},0.022000217,1623
14,"{rating=F,forwardSecrecy=0}",0.020875129,1540
8,"{rating=T,forwardSecrecy=4}",0.020224475,1492
26,"{rating=B,forwardSecrecy=2}",0.020129588,1485
13,"{rating=A-,forwardSecrecy=0}",0.015913897,1174
10,"{rating=T,forwardSecrecy=1}",0.015453017,1140
15,"{rating=C,forwardSecrecy=0}",0.01510058,1114
16,"{rating=C,forwardSecrecy=4}",0.014897251,1099
17,"{rating=C,forwardSecrecy=2}",0.014463482,1067
9,"{rating=T,forwardSecrecy=2}",0.010925554,806
20,"{rating=F,forwardSecrecy=2}",0.009976685,736
1,"{rating=A,forwardSecrecy=null}",0.006289649,464
3,"{rating=B,forwardSecrecy=null}",0.005042564,372
11,"{rating=T,forwardSecrecy=0}",0.002778832,205
12,"{rating=B,forwardSecrecy=0}",0.002738166,202
2,"{rating=A+,forwardSecrecy=null}",0.002724611,201
5,"{rating=F,forwardSecrecy=null}",0.002575503,190
23,"{rating=A-,forwardSecrecy=2}",0.002155289,159
6,"{rating=C,forwardSecrecy=null}",0.002019736,149
4,"{rating=A-,forwardSecrecy=null}",0.001789297,132
7,"{rating=T,forwardSecrecy=null}",0.001558857,115
22,"{rating=A-,forwardSecrecy=4}",0.001409749,104
30,"{rating=A,forwardSecrecy=1}",0.000108442,8
