,items,support,count
16,{heartbleed=false},0.976522258,72040
17,{rating=A},0.396613891,29259
15,"{rating=A,heartbleed=false}",0.390337798,28796
18,{rating=A+},0.143265738,10569
14,"{rating=A+,heartbleed=false}",0.140554682,10369
19,{rating=B},0.136582985,10076
13,"{rating=B,heartbleed=false}",0.131581088,9707
20,{rating=A-},0.098235103,7247
12,"{rating=A-,heartbleed=false}",0.096445806,7115
21,{rating=F},0.090657702,6688
11,"{rating=F,heartbleed=false}",0.086523342,6383
22,{rating=C},0.083703844,6175
10,"{rating=C,heartbleed=false}",0.081684108,6026
23,{rating=T},0.050940736,3758
9,"{rating=T,heartbleed=false}",0.049395435,3644
24,{heartbleed=null},0.022461096,1657
2,"{rating=A,heartbleed=null}",0.006276094,463
4,"{rating=B,heartbleed=null}",0.005001898,369
6,"{rating=F,heartbleed=null}",0.003117714,230
3,"{rating=A+,heartbleed=null}",0.002711056,200
7,"{rating=C,heartbleed=null}",0.002019736,149
5,"{rating=A-,heartbleed=null}",0.001789297,132
8,"{rating=T,heartbleed=null}",0.001545302,114
1,"{rating=F,heartbleed=true}",0.001016646,75
25,{heartbleed=true},0.001016646,75
