,items,support,count
29,"{hpkpPolicy.status=\absent\""}""",0.947703736,69914
30,{rating=A},0.396613891,29259
28,"{rating=A,hpkpPolicy.status=\absent\""}""",0.380727105,28087
31,{rating=A+},0.143265738,10569
32,{rating=B},0.136582985,10076
27,"{rating=A+,hpkpPolicy.status=\absent\""}""",0.132841729,9800
26,"{rating=B,hpkpPolicy.status=\absent\""}""",0.12927669,9537
33,{rating=A-},0.098235103,7247
25,"{rating=A-,hpkpPolicy.status=\absent\""}""",0.093490755,6897
34,{rating=F},0.090657702,6688
24,"{rating=F,hpkpPolicy.status=\absent\""}""",0.085737136,6325
35,{rating=C},0.083703844,6175
23,"{rating=C,hpkpPolicy.status=\absent\""}""",0.078783278,5812
36,{rating=T},0.050940736,3758
22,"{rating=T,hpkpPolicy.status=\absent\""}""",0.046847042,3456
37,{hpkpPolicy.status=null},0.021458006,1583
38,"{hpkpPolicy.status=\unknown\""}""",0.01897739,1400
39,"{hpkpPolicy.status=\valid\""}""",0.009190479,678
6,"{rating=A+,hpkpPolicy.status=\valid\""}""",0.007685843,567
9,"{rating=A,hpkpPolicy.status=\unknown\""}""",0.006791194,501
15,"{rating=A,hpkpPolicy.status=null}",0.00608632,449
17,"{rating=B,hpkpPolicy.status=null}",0.0048799,360
13,"{rating=C,hpkpPolicy.status=\unknown\""}""",0.002765277,204
16,"{rating=A+,hpkpPolicy.status=null}",0.002683945,198
11,"{rating=A-,hpkpPolicy.status=\unknown\""}""",0.002643279,195
19,"{rating=F,hpkpPolicy.status=null}",0.002534837,187
14,"{rating=T,hpkpPolicy.status=\unknown\""}""",0.002331508,172
12,"{rating=F,hpkpPolicy.status=\unknown\""}""",0.002250176,166
10,"{rating=B,hpkpPolicy.status=\unknown\""}""",0.002155289,159
20,"{rating=C,hpkpPolicy.status=null}",0.002006181,148
18,"{rating=A-,hpkpPolicy.status=null}",0.001775741,131
40,"{hpkpPolicy.status=\incomplete\""}""",0.001735076,128
21,"{rating=T,hpkpPolicy.status=null}",0.001491081,110
3,"{rating=A,hpkpPolicy.status=\incomplete\""}""",0.001328417,98
5,"{rating=A,hpkpPolicy.status=\valid\""}""",0.000989535,73
41,"{hpkpPolicy.status=\invalid\""}""",0.000731985,54
2,"{rating=A,hpkpPolicy.status=\invalid\""}""",0.000528656,39
8,"{rating=T,hpkpPolicy.status=\valid\""}""",0.000216884,16
7,"{rating=A-,hpkpPolicy.status=\valid\""}""",0.000203329,15
42,"{hpkpPolicy.status=\partial\""}""",0.000189774,14
1,"{rating=A,hpkpPolicy.status=\partial\""}""",0.000162663,12
4,"{rating=B,hpkpPolicy.status=\incomplete\""}""",0.000135553,10
