,items,support,count
38,"{hstsPolicy.status=\absent\""}""",0.73759692,54414
39,{rating=A},0.396613891,29259
37,"{rating=A,hstsPolicy.status=\absent\""}""",0.353074337,26047
40,"{hstsPolicy.status=\present\""}""",0.21227566,15660
41,{rating=A+},0.143265738,10569
35,"{rating=A+,hstsPolicy.status=\present\""}""",0.140514016,10366
42,{rating=B},0.136582985,10076
33,"{rating=B,hstsPolicy.status=\absent\""}""",0.110231524,8132
43,{rating=A-},0.098235103,7247
44,{rating=F},0.090657702,6688
45,{rating=C},0.083703844,6175
31,"{rating=A-,hstsPolicy.status=\absent\""}""",0.080803015,5961
29,"{rating=F,hstsPolicy.status=\absent\""}""",0.079854145,5891
27,"{rating=C,hstsPolicy.status=\absent\""}""",0.071815865,5298
46,{rating=T},0.050940736,3758
25,"{rating=T,hstsPolicy.status=\absent\""}""",0.041790923,3083
36,"{rating=A,hstsPolicy.status=\present\""}""",0.023667516,1746
47,{hstsPolicy.status=null},0.021458006,1583
48,"{hstsPolicy.status=\unknown\""}""",0.01897739,1400
34,"{rating=B,hstsPolicy.status=\present\""}""",0.01851651,1366
32,"{rating=A-,hstsPolicy.status=\present\""}""",0.012253972,904
12,"{rating=A,hstsPolicy.status=\unknown\""}""",0.006791194,501
28,"{rating=C,hstsPolicy.status=\present\""}""",0.006696308,494
18,"{rating=A,hstsPolicy.status=null}",0.00608632,449
49,"{hstsPolicy.status=\disabled\""}""",0.005503443,406
30,"{rating=F,hstsPolicy.status=\present\""}""",0.005489888,405
26,"{rating=T,hstsPolicy.status=\present\""}""",0.005137451,379
20,"{rating=B,hstsPolicy.status=null}",0.0048799,360
50,"{hstsPolicy.status=\invalid\""}""",0.004188581,309
6,"{rating=A,hstsPolicy.status=\disabled\""}""",0.004175026,308
1,"{rating=A,hstsPolicy.status=\invalid\""}""",0.002819498,208
16,"{rating=C,hstsPolicy.status=\unknown\""}""",0.002765277,204
19,"{rating=A+,hstsPolicy.status=null}",0.002683945,198
14,"{rating=A-,hstsPolicy.status=\unknown\""}""",0.002643279,195
22,"{rating=F,hstsPolicy.status=null}",0.002534837,187
17,"{rating=T,hstsPolicy.status=\unknown\""}""",0.002331508,172
15,"{rating=F,hstsPolicy.status=\unknown\""}""",0.002250176,166
13,"{rating=B,hstsPolicy.status=\unknown\""}""",0.002155289,159
23,"{rating=C,hstsPolicy.status=null}",0.002006181,148
21,"{rating=A-,hstsPolicy.status=null}",0.001775741,131
24,"{rating=T,hstsPolicy.status=null}",0.001491081,110
3,"{rating=A-,hstsPolicy.status=\invalid\""}""",0.000474435,35
2,"{rating=B,hstsPolicy.status=\invalid\""}""",0.000447324,33
7,"{rating=B,hstsPolicy.status=\disabled\""}""",0.000352437,26
9,"{rating=F,hstsPolicy.status=\disabled\""}""",0.000338882,25
8,"{rating=A-,hstsPolicy.status=\disabled\""}""",0.000284661,21
5,"{rating=C,hstsPolicy.status=\invalid\""}""",0.000243995,18
4,"{rating=F,hstsPolicy.status=\invalid\""}""",0.000189774,14
10,"{rating=C,hstsPolicy.status=\disabled\""}""",0.000176219,13
11,"{rating=T,hstsPolicy.status=\disabled\""}""",0.000176219,13
