,items,support,count
75,"{keyAlg=\RSA\""}""",0.938120154,69207
76,{keySize=2048},0.856991813,63222
74,"{keySize=2048,keyAlg=\RSA\""}""",0.856978257,63221
77,{rating=A},0.396613891,29259
72,"{rating=A,keyAlg=\RSA\""}""",0.358767554,26467
71,"{rating=A,keySize=2048,keyAlg=\RSA\""}""",0.329501708,24308
73,"{rating=A,keySize=2048}",0.329501708,24308
78,{rating=A+},0.143265738,10569
79,{rating=B},0.136582985,10076
69,"{rating=A+,keyAlg=\RSA\""}""",0.132679065,9788
66,"{rating=B,keyAlg=\RSA\""}""",0.13145909,9698
65,"{rating=B,keySize=2048,keyAlg=\RSA\""}""",0.122512606,9038
67,"{rating=B,keySize=2048}",0.122512606,9038
68,"{rating=A+,keySize=2048,keyAlg=\RSA\""}""",0.110150192,8126
70,"{rating=A+,keySize=2048}",0.110150192,8126
80,{rating=A-},0.098235103,7247
63,"{rating=A-,keyAlg=\RSA\""}""",0.096418695,7113
62,"{rating=A-,keySize=2048,keyAlg=\RSA\""}""",0.091227024,6730
64,"{rating=A-,keySize=2048}",0.091227024,6730
81,{rating=F},0.090657702,6688
60,"{rating=F,keyAlg=\RSA\""}""",0.088000868,6492
82,{rating=C},0.083703844,6175
59,"{rating=F,keySize=2048,keyAlg=\RSA\""}""",0.082904083,6116
61,"{rating=F,keySize=2048}",0.082904083,6116
57,"{rating=C,keyAlg=\RSA\""}""",0.081656997,6024
56,"{rating=C,keySize=2048,keyAlg=\RSA\""}""",0.076885539,5672
58,"{rating=C,keySize=2048}",0.076885539,5672
49,"{keySize=4096,keyAlg=\RSA\""}""",0.076817763,5667
83,{keySize=4096},0.076817763,5667
84,{rating=T},0.050940736,3758
40,"{rating=T,keyAlg=\RSA\""}""",0.049137884,3625
41,"{rating=T,keySize=2048}",0.04381066,3232
39,"{rating=T,keySize=2048,keyAlg=\RSA\""}""",0.043797105,3231
85,"{keyAlg=\EC\""}""",0.04039473,2980
35,"{keySize=256,keyAlg=\EC\""}""",0.037412568,2760
86,{keySize=256},0.037412568,2760
36,"{rating=A,keyAlg=\EC\""}""",0.031760017,2343
31,"{rating=A,keySize=256,keyAlg=\EC\""}""",0.031041588,2290
33,"{rating=A,keySize=256}",0.031041588,2290
48,"{rating=A,keySize=4096,keyAlg=\RSA\""}""",0.028832077,2127
50,"{rating=A,keySize=4096}",0.028832077,2127
47,"{rating=A+,keySize=4096,keyAlg=\RSA\""}""",0.022284878,1644
51,"{rating=A+,keySize=4096}",0.022284878,1644
23,"{keySize=null,keyAlg=null}",0.021458006,1583
87,{keyAlg=null},0.021458006,1583
88,{keySize=null},0.021458006,1583
46,"{rating=B,keySize=4096,keyAlg=\RSA\""}""",0.008716044,643
52,"{rating=B,keySize=4096}",0.008716044,643
37,"{rating=A+,keyAlg=\EC\""}""",0.007902727,583
9,"{rating=A,keySize=null,keyAlg=null}",0.00608632,449
16,"{rating=A,keySize=null}",0.00608632,449
24,"{rating=A,keyAlg=null}",0.00608632,449
32,"{rating=A+,keySize=256,keyAlg=\EC\""}""",0.005747438,424
34,"{rating=A+,keySize=256}",0.005747438,424
45,"{rating=A-,keySize=4096,keyAlg=\RSA\""}""",0.005096785,376
53,"{rating=A-,keySize=4096}",0.005096785,376
11,"{rating=B,keySize=null,keyAlg=null}",0.0048799,360
18,"{rating=B,keySize=null}",0.0048799,360
26,"{rating=B,keyAlg=null}",0.0048799,360
43,"{rating=C,keySize=4096,keyAlg=\RSA\""}""",0.004717237,348
55,"{rating=C,keySize=4096}",0.004717237,348
38,"{rating=T,keySize=4096,keyAlg=\RSA\""}""",0.00364637,269
42,"{rating=T,keySize=4096}",0.00364637,269
44,"{rating=F,keySize=4096,keyAlg=\RSA\""}""",0.003524372,260
54,"{rating=F,keySize=4096}",0.003524372,260
89,{keySize=1024},0.002982161,220
6,"{keySize=1024,keyAlg=\RSA\""}""",0.002968606,219
3,"{keySize=384,keyAlg=\EC\""}""",0.00290083,214
90,{keySize=384},0.00290083,214
10,"{rating=A+,keySize=null,keyAlg=null}",0.002683945,198
17,"{rating=A+,keySize=null}",0.002683945,198
25,"{rating=A+,keyAlg=null}",0.002683945,198
13,"{rating=F,keySize=null,keyAlg=null}",0.002534837,187
20,"{rating=F,keySize=null}",0.002534837,187
28,"{rating=F,keyAlg=null}",0.002534837,187
1,"{rating=A+,keySize=384,keyAlg=\EC\""}""",0.002087513,154
2,"{rating=A+,keySize=384}",0.002087513,154
14,"{rating=C,keySize=null,keyAlg=null}",0.002006181,148
21,"{rating=C,keySize=null}",0.002006181,148
29,"{rating=C,keyAlg=null}",0.002006181,148
12,"{rating=A-,keySize=null,keyAlg=null}",0.001775741,131
19,"{rating=A-,keySize=null}",0.001775741,131
27,"{rating=A-,keyAlg=null}",0.001775741,131
8,"{rating=T,keySize=1024}",0.001572412,116
4,"{rating=T,keySize=1024,keyAlg=\RSA\""}""",0.001558857,115
15,"{rating=T,keySize=null,keyAlg=null}",0.001491081,110
22,"{rating=T,keySize=null}",0.001491081,110
30,"{rating=T,keyAlg=null}",0.001491081,110
5,"{rating=F,keySize=1024,keyAlg=\RSA\""}""",0.001409749,104
7,"{rating=F,keySize=1024}",0.001409749,104
