,items,support,count,,,,
17796,{SSL2Enabled=0},0.978189557,72163,,,,
17797,{heartbleed=false},0.976522258,72040,,,,
17795,"{SSL2Enabled=0,heartbleed=false}",0.954833812,70440,,,,
17798,"{hpkpPolicy.status=\absent\""}""",0.947703736,69914,,,,
17794,"{heartbleed=false,hpkpPolicy.status=\absent\""}""",0.94668709,69839,,,,
17799,"{keyAlg=\RSA\""}""",0.938120154,69207,,,,
17790,"{heartbleed=false,keyAlg=\RSA\""}""",0.936141083,69061,,,,
17800,"{sigAlg=\SHA256withRSA\""}""",0.932670932,68805,,,,
17782,"{heartbleed=false,sigAlg=\SHA256withRSA\""}""",0.930759638,68664,,,,
17793,"{SSL2Enabled=0,hpkpPolicy.status=\absent\""}""",0.92598818,68312,,,,
17784,"{keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.925866182,68303,,,
17792,"{SSL2Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""}""",0.925093531,68246,,,,
17775,"{heartbleed=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.923954888,68162,,,
17789,"{SSL2Enabled=0,keyAlg=\RSA\""}""",0.916309711,67598,,,,
17788,"{SSL2Enabled=0,heartbleed=false,keyAlg=\RSA\""}""",0.914452638,67461,,,,
17781,"{SSL2Enabled=0,sigAlg=\SHA256withRSA\""}""",0.912893781,67346,,,,
17791,"{hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.911944911,67276,,,
17780,"{SSL2Enabled=0,heartbleed=false,sigAlg=\SHA256withRSA\""}""",0.911090929,67213,,,,
17787,"{heartbleed=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.910928265,67201,,,
17774,"{SSL2Enabled=0,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.906089031,66844,,,
17783,"{hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.905845036,66826,,,
17801,{SSL3Enabled=0},0.904991054,66763,,,,
17779,"{heartbleed=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.904869056,66754,,,
17773,"{SSL2Enabled=0,heartbleed=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.904286179,66711,,,
17765,"{SSL2Enabled=0,SSL3Enabled=0}",0.904218403,66706,,,,
17802,{poodle=false},0.901236241,66486,,,,
17776,"{hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.900748251,66450,,
17734,"{heartbleed=false,poodle=false}",0.8999756,66393,,,,
17772,"{heartbleed=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.899772271,66378,,
17733,"{SSL2Enabled=0,poodle=false}",0.893170851,65891,,,,
17732,"{SSL2Enabled=0,heartbleed=false,poodle=false}",0.891923765,65799,,,,
17786,"{SSL2Enabled=0,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.890229355,65674,,,
17785,"{SSL2Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.889334707,65608,,,
17778,"{SSL2Enabled=0,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.886149217,65373,,,
17777,"{SSL2Enabled=0,heartbleed=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.885281679,65309,,,
17738,"{SSL3Enabled=0,poodle=false}",0.883370384,65168,,,,
17702,"{SSL2Enabled=0,SSL3Enabled=0,poodle=false}",0.882597734,65111,,,,
