,items,support,count
22,{ocspstapling=false},0.724638074,53458
23,{rating=A},0.396613891,29259
21,"{rating=A,ocspstapling=false}",0.267418533,19728
24,{ocspstapling=true},0.252873719,18655
25,{rating=A+},0.143265738,10569
26,{rating=B},0.136582985,10076
20,"{rating=A,ocspstapling=true}",0.122919265,9068
16,"{rating=B,ocspstapling=false}",0.111397278,8218
27,{rating=A-},0.098235103,7247
28,{rating=F},0.090657702,6688
18,"{rating=A+,ocspstapling=false}",0.089288619,6587
29,{rating=C},0.083703844,6175
14,"{rating=A-,ocspstapling=false}",0.074554031,5500
12,"{rating=F,ocspstapling=false}",0.071788755,5296
10,"{rating=C,ocspstapling=false}",0.066149759,4880
19,"{rating=A+,ocspstapling=true}",0.051252508,3781
30,{rating=T},0.050940736,3758
8,"{rating=T,ocspstapling=false}",0.0440411,3249
31,{ocspstapling=null},0.022488207,1659
15,"{rating=A-,ocspstapling=true}",0.021878219,1614
17,"{rating=B,ocspstapling=true}",0.02018381,1489
13,"{rating=F,ocspstapling=true}",0.015751234,1162
11,"{rating=C,ocspstapling=true}",0.015534349,1146
1,"{rating=A,ocspstapling=null}",0.006276094,463
9,"{rating=T,ocspstapling=true}",0.005354335,395
3,"{rating=B,ocspstapling=null}",0.005001898,369
5,"{rating=F,ocspstapling=null}",0.003117714,230
2,"{rating=A+,ocspstapling=null}",0.002724611,201
6,"{rating=C,ocspstapling=null}",0.002019736,149
4,"{rating=A-,ocspstapling=null}",0.001802852,133
7,"{rating=T,ocspstapling=null}",0.001545302,114
