,items,support,count
18,{poodle=false},0.901236241,66486
19,{rating=A},0.396613891,29259
17,"{rating=A,poodle=false}",0.390432684,28803
20,{rating=A+},0.143265738,10569
16,"{rating=A+,poodle=false}",0.140568237,10370
21,{rating=B},0.136582985,10076
15,"{rating=B,poodle=false}",0.131648864,9712
22,{rating=A-},0.098235103,7247
14,"{rating=A-,poodle=false}",0.096445806,7115
23,{rating=F},0.090657702,6688
24,{rating=C},0.083703844,6175
25,{poodle=true},0.077088868,5687
13,"{rating=F,poodle=false}",0.057406604,4235
26,{rating=T},0.050940736,3758
8,"{rating=T,poodle=false}",0.04406821,3251
11,"{rating=C,poodle=true}",0.041031828,3027
12,"{rating=C,poodle=false}",0.040665835,3000
10,"{rating=F,poodle=true}",0.030702706,2265
27,{poodle=null},0.02167489,1599
1,"{rating=A,poodle=null}",0.006181207,456
9,"{rating=T,poodle=true}",0.005327224,393
3,"{rating=B,poodle=null}",0.004920566,363
2,"{rating=A+,poodle=null}",0.0026975,199
5,"{rating=F,poodle=null}",0.002548392,188
6,"{rating=C,poodle=null}",0.002006181,148
4,"{rating=A-,poodle=null}",0.001775741,131
7,"{rating=T,poodle=null}",0.001545302,114
