,items,support,count
1073,{SSL2Enabled=0},0.978189557,72163
1074,{TLS12Enabled=1},0.916323266,67599
1072,"{SSL2Enabled=0,TLS12Enabled=1}",0.913693542,67405
1075,{SSL3Enabled=0},0.904991054,66763
1070,"{SSL2Enabled=0,SSL3Enabled=0}",0.904218403,66706
1071,"{SSL3Enabled=0,TLS12Enabled=1}",0.855107629,63083
1069,"{SSL2Enabled=0,SSL3Enabled=0,TLS12Enabled=1}",0.854863634,63065
1076,{TLS1Enabled=1},0.854145204,63012
1077,{TLS11Enabled=1},0.833622513,61498
1066,"{SSL2Enabled=0,TLS1Enabled=1}",0.832497424,61415
1058,"{SSL2Enabled=0,TLS11Enabled=1}",0.831535,61344
1059,"{TLS11Enabled=1,TLS12Enabled=1}",0.831494334,61341
1057,"{SSL2Enabled=0,TLS11Enabled=1,TLS12Enabled=1}",0.829542374,61197
1067,"{TLS1Enabled=1,TLS12Enabled=1}",0.792224692,58444
1065,"{SSL2Enabled=0,TLS1Enabled=1,TLS12Enabled=1}",0.789730521,58260
1061,"{TLS1Enabled=1,TLS11Enabled=1}",0.782749553,57745
1052,"{TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1}",0.780797593,57601
1051,"{SSL2Enabled=0,TLS1Enabled=1,TLS11Enabled=1}",0.78068915,57593
1050,"{SSL2Enabled=0,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1}",0.778872743,57459
1060,"{SSL3Enabled=0,TLS11Enabled=1}",0.773870845,57090
1055,"{SSL2Enabled=0,SSL3Enabled=0,TLS11Enabled=1}",0.773748848,57081
1056,"{SSL3Enabled=0,TLS11Enabled=1,TLS12Enabled=1}",0.772542428,56992
1054,"{SSL2Enabled=0,SSL3Enabled=0,TLS11Enabled=1,TLS12Enabled=1}",0.772420431,56983
1068,"{SSL3Enabled=0,TLS1Enabled=1}",0.759895353,56059
1063,"{SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1}",0.759176923,56006
1064,"{SSL3Enabled=0,TLS1Enabled=1,TLS12Enabled=1}",0.731619042,53973
1062,"{SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1,TLS12Enabled=1}",0.731429269,53959
1053,"{SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1}",0.723228325,53354
1048,"{SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1}",0.723119883,53346
1049,"{SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1}",0.722076126,53269
1047,"{SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1}",0.721967684,53261
1078,{rating=A},0.396613891,29259
1042,"{rating=A,SSL2Enabled=0}",0.396600336,29258
1044,"{rating=A,SSL3Enabled=0}",0.396586781,29257
1039,"{rating=A,SSL2Enabled=0,SSL3Enabled=0}",0.396573226,29256
1041,"{rating=A,SSL2Enabled=0,TLS12Enabled=1}",0.390744456,28826
1043,"{rating=A,TLS12Enabled=1}",0.390744456,28826
1038,"{rating=A,SSL2Enabled=0,SSL3Enabled=0,TLS12Enabled=1}",0.390717345,28824
1040,"{rating=A,SSL3Enabled=0,TLS12Enabled=1}",0.390717345,28824
1026,"{rating=A,SSL2Enabled=0,TLS11Enabled=1,TLS12Enabled=1}",0.365097869,26934
1027,"{rating=A,SSL2Enabled=0,TLS11Enabled=1}",0.365097869,26934
1028,"{rating=A,TLS11Enabled=1,TLS12Enabled=1}",0.365097869,26934
1046,"{rating=A,TLS11Enabled=1}",0.365097869,26934
1023,"{rating=A,SSL2Enabled=0,SSL3Enabled=0,TLS11Enabled=1,TLS12Enabled=1}",0.365070759,26932
1024,"{rating=A,SSL2Enabled=0,SSL3Enabled=0,TLS11Enabled=1}",0.365070759,26932
1025,"{rating=A,SSL3Enabled=0,TLS11Enabled=1,TLS12Enabled=1}",0.365070759,26932
1029,"{rating=A,SSL3Enabled=0,TLS11Enabled=1}",0.365070759,26932
1045,"{rating=A,TLS1Enabled=1}",0.344602288,25422
1035,"{rating=A,SSL2Enabled=0,TLS1Enabled=1}",0.344588733,25421
1037,"{rating=A,SSL3Enabled=0,TLS1Enabled=1}",0.344575178,25420
1032,"{rating=A,SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1}",0.344561622,25419
1034,"{rating=A,SSL2Enabled=0,TLS1Enabled=1,TLS12Enabled=1}",0.344561622,25419
1036,"{rating=A,TLS1Enabled=1,TLS12Enabled=1}",0.344561622,25419
1031,"{rating=A,SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1,TLS12Enabled=1}",0.344534512,25417
1033,"{rating=A,SSL3Enabled=0,TLS1Enabled=1,TLS12Enabled=1}",0.344534512,25417
1019,"{rating=A,SSL2Enabled=0,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1}",0.342162338,25242
1020,"{rating=A,SSL2Enabled=0,TLS1Enabled=1,TLS11Enabled=1}",0.342162338,25242
1021,"{rating=A,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1}",0.342162338,25242
1030,"{rating=A,TLS1Enabled=1,TLS11Enabled=1}",0.342162338,25242
1016,"{rating=A,SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1}",0.342135227,25240
1017,"{rating=A,SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1}",0.342135227,25240
1018,"{rating=A,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1}",0.342135227,25240
1022,"{rating=A,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1}",0.342135227,25240
1079,{TLS11Enabled=0},0.166377487,12274
1011,"{SSL2Enabled=0,TLS11Enabled=0}",0.146654557,10819
1080,{TLS1Enabled=0},0.145854796,10760
979,"{SSL2Enabled=0,TLS1Enabled=0}",0.145692133,10748
981,"{SSL3Enabled=0,TLS1Enabled=0}",0.1450957,10704
976,"{SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=0}",0.145041479,10700
928,"{rating=A+,SSL2Enabled=0,SSL3Enabled=0}",0.143265738,10569
931,"{rating=A+,SSL2Enabled=0}",0.143265738,10569
933,"{rating=A+,SSL3Enabled=0}",0.143265738,10569
1081,{rating=A+},0.143265738,10569
927,"{rating=A+,SSL2Enabled=0,SSL3Enabled=0,TLS12Enabled=1}",0.140636014,10375
929,"{rating=A+,SSL3Enabled=0,TLS12Enabled=1}",0.140636014,10375
930,"{rating=A+,SSL2Enabled=0,TLS12Enabled=1}",0.140636014,10375
932,"{rating=A+,TLS12Enabled=1}",0.140636014,10375
860,"{rating=B,SSL2Enabled=0}",0.136582985,10076
1082,{rating=B},0.136582985,10076
