"","rules","support","confidence","lift","count"
"87","{keySize=2048,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.847977552458927,1,1.06596153568281,62557
"86","{rating=A,keySize=2048} => {keyAlg=\"RSA\"}",0.329501707965082,1,1.06596153568281,24308
"132","{rating=A,keySize=2048,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.329257712953424,1,1.06596153568281,24290
"84","{rating=B,keySize=2048} => {keyAlg=\"RSA\"}",0.122512606408936,1,1.06596153568281,9038
"130","{rating=B,keySize=2048,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.122417719459958,1,1.06596153568281,9031
"85","{rating=A+,keySize=2048} => {keyAlg=\"RSA\"}",0.110150192484954,1,1.06596153568281,8126
"131","{rating=A+,keySize=2048,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.110109526649677,1,1.06596153568281,8123
"83","{rating=A-,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.0963238084910264,1,1.06596153568281,7106
"82","{rating=A-,keySize=2048} => {keyAlg=\"RSA\"}",0.0912270238030689,1,1.06596153568281,6730
"129","{rating=A-,keySize=2048,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.091132136854091,1,1.06596153568281,6723
"81","{rating=F,keySize=2048} => {keyAlg=\"RSA\"}",0.0829040828498617,1,1.06596153568281,6116
"128","{rating=F,keySize=2048,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.0797863688120154,1,1.06596153568281,5886
"80","{rating=C,keySize=2048} => {keyAlg=\"RSA\"}",0.0768855392289758,1,1.06596153568281,5672
"127","{rating=C,keySize=2048,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.0768448733936995,1,1.06596153568281,5669
"11","{keySize=4096} => {keyAlg=\"RSA\"}",0.0768177628368487,1,1.06596153568281,5667
"79","{keySize=4096,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.076180664750854,1,1.06596153568281,5620
"118","{rating=T,keySize=2048,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.0384292143360625,1,1.06596153568281,2835
"10","{keySize=256} => {keyAlg=\"EC\"}",0.037412568454156,1,24.7557046979866,2760
"64","{keySize=256,sigAlg=\"SHA256withECDSA\"} => {keyAlg=\"EC\"}",0.0329528818521932,1,24.7557046979866,2431
"68","{rating=A,keySize=256} => {keyAlg=\"EC\"}",0.0310415875942092,1,24.7557046979866,2290
"78","{rating=A,keySize=4096} => {keyAlg=\"RSA\"}",0.0288320772108659,1,1.06596153568281,2127
"126","{rating=A,keySize=4096,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.028737190261888,1,1.06596153568281,2120
"66","{rating=A,sigAlg=\"SHA256withECDSA\"} => {keyAlg=\"EC\"}",0.0286151927560592,1,24.7557046979866,2111
"114","{rating=A,keySize=256,sigAlg=\"SHA256withECDSA\"} => {keyAlg=\"EC\"}",0.0285203058070813,1,24.7557046979866,2104
"77","{rating=A+,keySize=4096} => {keyAlg=\"RSA\"}",0.0222848777313886,1,1.06596153568281,1644
"125","{rating=A+,keySize=4096,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.0222442118961123,1,1.06596153568281,1641
"4","{keySize=null} => {keyAlg=null}",0.0214580057474381,1,46.6026531901453,1583
"5","{keyAlg=null} => {keySize=null}",0.0214580057474381,1,46.6026531901453,1583
"6","{keySize=null} => {sigAlg=null}",0.0214580057474381,1,46.6026531901453,1583
"7","{sigAlg=null} => {keySize=null}",0.0214580057474381,1,46.6026531901453,1583
"8","{keyAlg=null} => {sigAlg=null}",0.0214580057474381,1,46.6026531901453,1583
"9","{sigAlg=null} => {keyAlg=null}",0.0214580057474381,1,46.6026531901453,1583
"19","{keySize=null,keyAlg=null} => {sigAlg=null}",0.0214580057474381,1,46.6026531901453,1583
"20","{keySize=null,sigAlg=null} => {keyAlg=null}",0.0214580057474381,1,46.6026531901453,1583
"21","{keyAlg=null,sigAlg=null} => {keySize=null}",0.0214580057474381,1,46.6026531901453,1583
"3","{sigAlg=\"SHA1withRSA\"} => {keyAlg=\"RSA\"}",0.0104104538307217,1,1.06596153568281,768
"75","{rating=B,keySize=4096} => {sigAlg=\"SHA256withRSA\"}",0.00871604402754433,1,1.07218952111038,643
"76","{rating=B,keySize=4096} => {keyAlg=\"RSA\"}",0.00871604402754433,1,1.06596153568281,643
"123","{rating=B,keySize=4096,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.00871604402754433,1,1.06596153568281,643
"124","{rating=B,keySize=4096,keyAlg=\"RSA\"} => {sigAlg=\"SHA256withRSA\"}",0.00871604402754433,1,1.07218952111038,643
"18","{keySize=2048,sigAlg=\"SHA1withRSA\"} => {keyAlg=\"RSA\"}",0.00809250121997506,1,1.06596153568281,597
"16","{rating=T,sigAlg=\"SHA1withRSA\"} => {keyAlg=\"RSA\"}",0.0063980914167977,1,1.06596153568281,472
"34","{rating=A,keySize=null} => {keyAlg=null}",0.00608632001301307,1,46.6026531901453,449
"35","{rating=A,keyAlg=null} => {keySize=null}",0.00608632001301307,1,46.6026531901453,449
"48","{rating=A,keySize=null} => {sigAlg=null}",0.00608632001301307,1,46.6026531901453,449
"49","{rating=A,sigAlg=null} => {keySize=null}",0.00608632001301307,1,46.6026531901453,449
"62","{rating=A,keyAlg=null} => {sigAlg=null}",0.00608632001301307,1,46.6026531901453,449
"63","{rating=A,sigAlg=null} => {keyAlg=null}",0.00608632001301307,1,46.6026531901453,449
"110","{rating=A,keySize=null,keyAlg=null} => {sigAlg=null}",0.00608632001301307,1,46.6026531901453,449
"111","{rating=A,keySize=null,sigAlg=null} => {keyAlg=null}",0.00608632001301307,1,46.6026531901453,449
"112","{rating=A,keyAlg=null,sigAlg=null} => {keySize=null}",0.00608632001301307,1,46.6026531901453,449
"67","{rating=A+,keySize=256} => {keyAlg=\"EC\"}",0.0057474380523776,1,24.7557046979866,424
"90","{rating=T,keySize=2048,sigAlg=\"SHA1withRSA\"} => {keyAlg=\"RSA\"}",0.00511033996638291,1,1.06596153568281,377
"73","{rating=A-,keySize=4096} => {sigAlg=\"SHA256withRSA\"}",0.00509678468795749,1,1.07218952111038,376
"74","{rating=A-,keySize=4096} => {keyAlg=\"RSA\"}",0.00509678468795749,1,1.06596153568281,376
"121","{rating=A-,keySize=4096,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.00509678468795749,1,1.06596153568281,376
"122","{rating=A-,keySize=4096,keyAlg=\"RSA\"} => {sigAlg=\"SHA256withRSA\"}",0.00509678468795749,1,1.07218952111038,376
"30","{rating=B,keySize=null} => {keyAlg=null}",0.00487990023315079,1,46.6026531901453,360
"31","{rating=B,keyAlg=null} => {keySize=null}",0.00487990023315079,1,46.6026531901453,360
"44","{rating=B,keySize=null} => {sigAlg=null}",0.00487990023315079,1,46.6026531901453,360
"45","{rating=B,sigAlg=null} => {keySize=null}",0.00487990023315079,1,46.6026531901453,360
"58","{rating=B,keyAlg=null} => {sigAlg=null}",0.00487990023315079,1,46.6026531901453,360
"59","{rating=B,sigAlg=null} => {keyAlg=null}",0.00487990023315079,1,46.6026531901453,360
"104","{rating=B,keySize=null,keyAlg=null} => {sigAlg=null}",0.00487990023315079,1,46.6026531901453,360
"105","{rating=B,keySize=null,sigAlg=null} => {keyAlg=null}",0.00487990023315079,1,46.6026531901453,360
"106","{rating=B,keyAlg=null,sigAlg=null} => {keySize=null}",0.00487990023315079,1,46.6026531901453,360
