"","rules","support","confidence","lift","count"
"2","{PoorestRating=A} => {BestRating=A}",0.396437327481269,1,2.36860913705584,23123
"41","{attempts=2,PoorestRating=A} => {BestRating=A}",0.180242426320572,1,2.36860913705584,10513
"39","{attempts=1,PoorestRating=A} => {BestRating=A}",0.177293534726627,1,2.36860913705584,10341
"40","{attempts=1,BestRating=A} => {PoorestRating=A}",0.177293534726627,1,2.52246680794015,10341
"1","{BestRating=T} => {PoorestRating=T}",0.0547945205479452,1,16.9161832946636,3196
"37","{attempts=1,BestRating=A+} => {PoorestRating=A+}",0.0526171412896257,1,7.34227089627392,3069
"38","{attempts=1,PoorestRating=A+} => {BestRating=A+}",0.0526171412896257,1,7.34689507494647,3069
"35","{attempts=1,BestRating=B} => {PoorestRating=B}",0.0477651859344729,1,7.51830368651714,2786
"36","{attempts=1,PoorestRating=B} => {BestRating=B}",0.0477651859344729,1,8.31105728127672,2786
"33","{attempts=1,PoorestRating=A-} => {BestRating=A-}",0.0328835702161949,1,10.0012002743484,1918
"34","{attempts=1,BestRating=A-} => {PoorestRating=A-}",0.0328835702161949,1,10.4753951149425,1918
"31","{attempts=1,BestRating=F} => {PoorestRating=F}",0.0323349392219727,1,10.4622421524664,1886
"32","{attempts=1,PoorestRating=F} => {BestRating=F}",0.0323349392219727,1,11.2971140809607,1886
"29","{attempts=1,BestRating=C} => {PoorestRating=C}",0.0290774426937782,1,11.876807167583,1696
"30","{attempts=1,PoorestRating=C} => {BestRating=C}",0.0290774426937782,1,12.8078612209047,1696
"28","{attempts=2,BestRating=T} => {PoorestRating=T}",0.0272429578068476,1,16.9161832946636,1589
"26","{attempts=1,BestRating=T} => {PoorestRating=T}",0.0234711197215698,1,16.9161832946636,1369
"27","{attempts=1,PoorestRating=T} => {BestRating=T}",0.0234711197215698,1,18.25,1369
"23","{attempts=3,PoorestRating=A} => {BestRating=A}",0.0140758139455141,1,2.36860913705584,821
"25","{attempts=4,PoorestRating=A} => {BestRating=A}",0.0136300512627085,1,2.36860913705584,795
"21","{attempts=6,PoorestRating=A} => {BestRating=A}",0.00327464124676393,1,2.36860913705584,191
"19","{attempts=5,PoorestRating=A} => {BestRating=A}",0.00277744440825004,1,2.36860913705584,162
"22","{attempts=3,BestRating=T} => {PoorestRating=T}",0.00178305073122225,1,16.9161832946636,104
"24","{attempts=4,BestRating=T} => {PoorestRating=T}",0.00140586692269446,1,16.9161832946636,82
"17","{attempts=7,PoorestRating=A} => {BestRating=A}",0.00121727501843057,1,2.36860913705584,71
"15","{attempts=8,PoorestRating=A} => {BestRating=A}",0.00120013029986113,1,2.36860913705584,70
"13","{attempts=10,PoorestRating=A} => {BestRating=A}",0.000582920431361119,1,2.36860913705584,34
"12","{attempts=9,PoorestRating=A} => {BestRating=A}",0.000411473245666672,1,2.36860913705584,24
"14","{attempts=8,BestRating=F} => {PoorestRating=F}",0.000342894371388894,1,10.4622421524664,20
"16","{attempts=7,BestRating=F} => {PoorestRating=F}",0.000308604934250004,1,10.4622421524664,18
"18","{attempts=5,BestRating=T} => {PoorestRating=T}",0.00029146021568056,1,16.9161832946636,17
"20","{attempts=6,BestRating=T} => {PoorestRating=T}",0.00029146021568056,1,16.9161832946636,17
"7","{attempts=14,PoorestRating=A+} => {BestRating=A+}",0.000222881341402781,1,7.34689507494647,13
"8","{attempts=14,PoorestRating=A} => {BestRating=A}",0.000205736622833336,1,2.36860913705584,12
"9","{attempts=12,PoorestRating=A} => {BestRating=A}",0.000171447185694447,1,2.36860913705584,10
"10","{attempts=11,PoorestRating=A} => {BestRating=A}",0.000154302467125002,1,2.36860913705584,9
"4","{attempts=17,PoorestRating=A} => {BestRating=A}",0.000137157748555557,1,2.36860913705584,8
"6","{attempts=13,PoorestRating=A} => {BestRating=A}",0.000137157748555557,1,2.36860913705584,8
"11","{attempts=9,BestRating=F} => {PoorestRating=F}",0.000137157748555557,1,10.4622421524664,8
"3","{attempts=19,PoorestRating=A} => {BestRating=A}",0.000102868311416668,1,2.36860913705584,6
"5","{attempts=16,PoorestRating=A} => {BestRating=A}",0.000102868311416668,1,2.36860913705584,6
