"","rules","support","confidence","lift","count"
"36","{rating=A,keySize=2048} => {keyAlg=\"RSA\"}",0.329501707965082,1,1.06596153568281,24308
"34","{rating=B,keySize=2048} => {keyAlg=\"RSA\"}",0.122512606408936,1,1.06596153568281,9038
"35","{rating=A+,keySize=2048} => {keyAlg=\"RSA\"}",0.110150192484954,1,1.06596153568281,8126
"33","{rating=A-,keySize=2048} => {keyAlg=\"RSA\"}",0.0912270238030689,1,1.06596153568281,6730
"32","{rating=F,keySize=2048} => {keyAlg=\"RSA\"}",0.0829040828498617,1,1.06596153568281,6116
"31","{rating=C,keySize=2048} => {keyAlg=\"RSA\"}",0.0768855392289758,1,1.06596153568281,5672
"5","{keySize=4096} => {keyAlg=\"RSA\"}",0.0768177628368487,1,1.06596153568281,5667
"4","{keySize=256} => {keyAlg=\"EC\"}",0.037412568454156,1,24.7557046979866,2760
"23","{rating=A,keySize=256} => {keyAlg=\"EC\"}",0.0310415875942092,1,24.7557046979866,2290
"30","{rating=A,keySize=4096} => {keyAlg=\"RSA\"}",0.0288320772108659,1,1.06596153568281,2127
"29","{rating=A+,keySize=4096} => {keyAlg=\"RSA\"}",0.0222848777313886,1,1.06596153568281,1644
"2","{keySize=null} => {keyAlg=null}",0.0214580057474381,1,46.6026531901453,1583
"3","{keyAlg=null} => {keySize=null}",0.0214580057474381,1,46.6026531901453,1583
"28","{rating=B,keySize=4096} => {keyAlg=\"RSA\"}",0.00871604402754433,1,1.06596153568281,643
"20","{rating=A,keySize=null} => {keyAlg=null}",0.00608632001301307,1,46.6026531901453,449
"21","{rating=A,keyAlg=null} => {keySize=null}",0.00608632001301307,1,46.6026531901453,449
"22","{rating=A+,keySize=256} => {keyAlg=\"EC\"}",0.0057474380523776,1,24.7557046979866,424
"27","{rating=A-,keySize=4096} => {keyAlg=\"RSA\"}",0.00509678468795749,1,1.06596153568281,376
"16","{rating=B,keySize=null} => {keyAlg=null}",0.00487990023315079,1,46.6026531901453,360
"17","{rating=B,keyAlg=null} => {keySize=null}",0.00487990023315079,1,46.6026531901453,360
"25","{rating=C,keySize=4096} => {keyAlg=\"RSA\"}",0.00471723689204576,1,1.06596153568281,348
"24","{rating=T,keySize=4096} => {keyAlg=\"RSA\"}",0.00364636989643767,1,1.06596153568281,269
"26","{rating=F,keySize=4096} => {keyAlg=\"RSA\"}",0.0035243723906089,1,1.06596153568281,260
"1","{keySize=384} => {keyAlg=\"EC\"}",0.00290082958303964,1,24.7557046979866,214
"18","{rating=A+,keySize=null} => {keyAlg=null}",0.00268394512823293,1,46.6026531901453,198
"19","{rating=A+,keyAlg=null} => {keySize=null}",0.00268394512823293,1,46.6026531901453,198
"12","{rating=F,keySize=null} => {keyAlg=null}",0.00253483706555333,1,46.6026531901453,187
"13","{rating=F,keyAlg=null} => {keySize=null}",0.00253483706555333,1,46.6026531901453,187
"6","{rating=A+,keySize=384} => {keyAlg=\"EC\"}",0.0020875128775145,1,24.7557046979866,154
"10","{rating=C,keySize=null} => {keyAlg=null}",0.00200618120696199,1,46.6026531901453,148
"11","{rating=C,keyAlg=null} => {keySize=null}",0.00200618120696199,1,46.6026531901453,148
"14","{rating=A-,keySize=null} => {keyAlg=null}",0.00177574147372987,1,46.6026531901453,131
"15","{rating=A-,keyAlg=null} => {keySize=null}",0.00177574147372987,1,46.6026531901453,131
"8","{rating=T,keySize=null} => {keyAlg=null}",0.00149108062679607,1,46.6026531901453,110
"9","{rating=T,keyAlg=null} => {keySize=null}",0.00149108062679607,1,46.6026531901453,110
"7","{rating=F,keySize=1024} => {keyAlg=\"RSA\"}",0.00140974895624356,1,1.06596153568281,104
