"","rules","support","confidence","lift","count"
"74","{rating=A,TLS12Enabled=1} => {SSL2Enabled=0}",0.390744455891124,1,1.02229674486925,28826
"294","{rating=A,SSL3Enabled=0,TLS12Enabled=1} => {SSL2Enabled=0}",0.390717345334273,1,1.02229674486925,28824
"72","{rating=A,TLS11Enabled=1} => {TLS12Enabled=1}",0.365097869110232,1,1.09131791890413,26934
"73","{rating=A,TLS11Enabled=1} => {SSL2Enabled=0}",0.365097869110232,1,1.02229674486925,26934
"291","{rating=A,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.365097869110232,1,1.02229674486925,26934
"292","{rating=A,SSL2Enabled=0,TLS11Enabled=1} => {TLS12Enabled=1}",0.365097869110232,1,1.09131791890413,26934
"289","{rating=A,SSL3Enabled=0,TLS11Enabled=1} => {TLS12Enabled=1}",0.365070758553381,1,1.09131791890413,26932
"290","{rating=A,SSL3Enabled=0,TLS11Enabled=1} => {SSL2Enabled=0}",0.365070758553381,1,1.02229674486925,26932
"553","{rating=A,SSL3Enabled=0,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.365070758553381,1,1.02229674486925,26932
"554","{rating=A,SSL2Enabled=0,SSL3Enabled=0,TLS11Enabled=1} => {TLS12Enabled=1}",0.365070758553381,1,1.09131791890413,26932
"293","{rating=A,TLS1Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.344561622295722,1,1.02229674486925,25419
"555","{rating=A,SSL3Enabled=0,TLS1Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.344534511738871,1,1.02229674486925,25417
"287","{rating=A,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.342162338014423,1,1.09131791890413,25242
"288","{rating=A,TLS1Enabled=1,TLS11Enabled=1} => {SSL2Enabled=0}",0.342162338014423,1,1.02229674486925,25242
"551","{rating=A,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.342162338014423,1,1.02229674486925,25242
"552","{rating=A,SSL2Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.342162338014423,1,1.09131791890413,25242
"549","{rating=A,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.342135227457572,1,1.09131791890413,25240
"550","{rating=A,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {SSL2Enabled=0}",0.342135227457572,1,1.02229674486925,25240
"657","{rating=A,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.342135227457572,1,1.02229674486925,25240
"658","{rating=A,SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.342135227457572,1,1.09131791890413,25240
"5","{rating=A+} => {SSL3Enabled=0}",0.143265737678252,1,1.10498329913275,10569
"6","{rating=A+} => {SSL2Enabled=0}",0.143265737678252,1,1.02229674486925,10569
"66","{rating=A+,SSL3Enabled=0} => {SSL2Enabled=0}",0.143265737678252,1,1.02229674486925,10569
"67","{rating=A+,SSL2Enabled=0} => {SSL3Enabled=0}",0.143265737678252,1,1.10498329913275,10569
"65","{rating=A+,TLS12Enabled=1} => {SSL3Enabled=0}",0.140636013663721,1,1.10498329913275,10375
"68","{rating=A+,TLS12Enabled=1} => {SSL2Enabled=0}",0.140636013663721,1,1.02229674486925,10375
"272","{rating=A+,SSL3Enabled=0,TLS12Enabled=1} => {SSL2Enabled=0}",0.140636013663721,1,1.02229674486925,10375
"273","{rating=A+,SSL2Enabled=0,TLS12Enabled=1} => {SSL3Enabled=0}",0.140636013663721,1,1.10498329913275,10375
