"id","attempts","BestRating","PoorestRating"
4,"1","A+","A+"
5,"1","A","A"
7,"1","A-","A-"
8,"1","B","B"
9,"1","C","C"
15,"1","A","A"
16,"1","A-","A-"
22,"1","B","B"
23,"1","F","F"
25,"1","Err","Err"
29,"1","Err","Err"
30,"1","A","A"
31,"1","F","F"
32,"1","T","T"
42,"1","A+","A+"
45,"1","A","A"
47,"1","A-","A-"
49,"1","F","F"
54,"1","F","F"
56,"1","F","F"
58,"1","Err","Err"
67,"1","Err","Err"
68,"1","Err","Err"
76,"1","",""
99,"1","Err","Err"
113,"1","Err","Err"
128,"1","Err","Err"
129,"1","Err","Err"
137,"1","Err","Err"
140,"1","Err","Err"
166,"1","Err","Err"
184,"1","Err","Err"
185,"1","A-","A-"
201,"1","Err","Err"
204,"1","Err","Err"
206,"1","",""
219,"1","Err","Err"
220,"1","",""
227,"1","Err","Err"
228,"1","Err","Err"
270,"1","Err","Err"
274,"1","Err","Err"
278,"1","Err","Err"
305,"1","Err","Err"
308,"1","Err","Err"
326,"1","Err","Err"
332,"1","Err","Err"
348,"1","Err","Err"
349,"1","Err","Err"
351,"1","Err","Err"
353,"1","Err","Err"
371,"1","Err","Err"
380,"1","Err","Err"
396,"1","Err","Err"
400,"1","Err","Err"
402,"1","Err","Err"
405,"1","Err","Err"
418,"1","Err","Err"
419,"1","Err","Err"
430,"1","Err","Err"
438,"1","Err","Err"
449,"1","A","A"
455,"1","Err","Err"
458,"1","Err","Err"
465,"1","C","C"
472,"1","Err","Err"
480,"1","Err","Err"
487,"1","Err","Err"
494,"1","Err","Err"
503,"1","Err","Err"
509,"1","Err","Err"
528,"1","Err","Err"
547,"1","Err","Err"
557,"1","",""
566,"1","Err","Err"
575,"1","Err","Err"
582,"1","Err","Err"
586,"1","Err","Err"
588,"1","Err","Err"
612,"1","Err","Err"
617,"1","Err","Err"
622,"1","Err","Err"
626,"1","Err","Err"
637,"1","Err","Err"
662,"1","Err","Err"
673,"1","Err","Err"
695,"1","Err","Err"
697,"1","Err","Err"
701,"1","Err","Err"
706,"1","Err","Err"
707,"1","Err","Err"
708,"1","Err","Err"
730,"1","Err","Err"
744,"1","Err","Err"
768,"1","Err","Err"
773,"1","Err","Err"
783,"1","Err","Err"
789,"1","",""
798,"1","Err","Err"
799,"1","Err","Err"
804,"1","Err","Err"
808,"1","Err","Err"
815,"1","Err","Err"
832,"1","Err","Err"
839,"1","Err","Err"
853,"1","Err","Err"
855,"1","",""
857,"1","",""
861,"1","Err","Err"
868,"1","Err","Err"
873,"1","Err","Err"
875,"1","Err","Err"
879,"1","Err","Err"
885,"1","Err","Err"
907,"1","Err","Err"
910,"1","Err","Err"
920,"1","Err","Err"
950,"1","Err","Err"
953,"1","Err","Err"
962,"1","Err","Err"
963,"1","Err","Err"
964,"1","Err","Err"
970,"1","Err","Err"
982,"1","Err","Err"
