"id","attempts","BestRating","PoorestRating"
1,"1","F","F"
4,"1","A+","A+"
5,"1","A","A"
7,"1","A-","A-"
8,"1","B","B"
9,"1","C","C"
15,"1","A","A"
16,"1","A-","A-"
17,"1","A","A"
18,"1","A","A"
19,"1","T","T"
21,"1","B","B"
22,"1","B","B"
23,"1","F","F"
24,"1","B","B"
28,"1","F","F"
30,"1","A","A"
31,"1","F","F"
32,"1","T","T"
34,"1","A","A"
35,"1","F","F"
36,"1","T","T"
39,"1","A","A"
40,"1","A","A"
41,"1","A","A"
42,"1","A+","A+"
43,"1","A","A"
44,"1","A","A"
45,"1","A","A"
47,"1","A-","A-"
49,"1","F","F"
50,"1","T","T"
51,"1","F","F"
52,"1","A","A"
53,"1","B","B"
54,"1","F","F"
56,"1","F","F"
62,"1","F","F"
64,"1","F","F"
66,"1","A+","A+"
72,"1","A-","A-"
73,"1","B","B"
74,"1","B","B"
75,"1","A","A"
79,"1","A+","A+"
81,"1","F","F"
82,"1","F","F"
85,"1","B","B"
87,"1","B","B"
90,"1","B","B"
91,"1","C","C"
92,"1","A","A"
93,"1","A+","A+"
94,"1","A","A"
96,"1","A","A"
98,"1","A+","A+"
100,"1","B","B"
101,"1","A","A"
102,"1","C","C"
105,"1","B","B"
106,"1","A+","A+"
108,"1","C","C"
110,"1","A","A"
111,"1","B","B"
114,"1","B","B"
116,"1","B","B"
117,"1","B","B"
118,"1","A","A"
119,"1","A","A"
120,"1","A","A"
121,"1","B","B"
124,"1","A+","A+"
125,"1","A-","A-"
126,"1","A+","A+"
127,"1","A","A"
130,"1","A","A"
132,"1","B","B"
133,"1","A+","A+"
135,"1","A+","A+"
136,"1","A+","A+"
141,"1","F","F"
142,"1","F","F"
153,"1","B","B"
154,"1","A+","A+"
155,"1","B","B"
156,"1","A+","A+"
157,"1","A+","A+"
158,"1","A+","A+"
159,"1","A+","A+"
160,"1","A","A"
162,"1","C","C"
163,"1","A","A"
165,"1","A","A"
167,"1","A","A"
169,"1","A-","A-"
170,"1","F","F"
171,"1","C","C"
172,"1","F","F"
173,"1","B","B"
174,"1","A+","A+"
175,"1","A-","A-"
179,"1","A","A"
181,"1","F","F"
183,"1","F","F"
185,"1","A-","A-"
186,"1","A","A"
189,"1","A","A"
190,"1","A+","A+"
192,"1","F","F"
193,"1","A-","A-"
194,"1","B","B"
196,"1","A","A"
197,"1","A","A"
199,"1","A","A"
200,"1","A","A"
202,"1","C","C"
205,"1","A","A"
207,"1","A+","A+"
210,"1","T","T"
212,"1","A+","A+"
213,"1","A-","A-"
216,"1","C","C"
217,"1","A","A"
222,"1","C","C"
223,"1","B","B"
225,"1","F","F"
230,"1","A","A"
231,"1","F","F"
232,"1","A","A"
234,"1","F","F"
236,"1","A","A"
237,"1","A","A"
241,"1","A","A"
242,"1","A+","A+"
248,"1","A+","A+"
251,"1","A-","A-"
256,"1","A+","A+"
257,"1","A","A"
258,"1","A","A"
259,"1","B","B"
260,"1","A","A"
261,"1","A-","A-"
263,"1","A+","A+"
266,"1","A","A"
268,"1","A+","A+"
273,"1","A","A"
276,"1","T","T"
277,"1","A","A"
279,"1","A-","A-"
280,"1","A","A"
285,"1","B","B"
286,"1","F","F"
287,"1","A-","A-"
288,"1","A","A"
289,"1","A","A"
290,"1","A+","A+"
291,"1","A","A"
296,"1","F","F"
297,"1","A-","A-"
300,"1","T","T"
301,"1","B","B"
302,"1","A","A"
304,"1","A-","A-"
306,"1","C","C"
307,"1","A","A"
309,"1","B","B"
311,"1","F","F"
314,"1","A+","A+"
