"domainhistory","url","rating","forwardSecrecy"
6,"server.fiscalon.be","A","2"
30,"weighanchor.us","A","4"
39,"serverdomain.net","A","4"
165,"secure.terramia.com","A","2"
2,"trailgenius.com","A","4"
325,"www.infozine.be","A","4"
570,"aero-signs.api-dev.honeywell.com","A","2"
1161,"wildcatengineeringconsultants.com","A","2"
224,"onvotar.garantiespelreferendum.com","A","4"
4955,"www.fleettracker.in","A","2"
9000,"marcianosmx.com","A","4"
16867,"www.smart-roots.net","A","2"
32593,"www.mojebanka.cz","A","2"
61442,"weiterbildungsguide.test.de","A","2"
61447,"www.baleares-ferry.com","A","4"
61452,"pocztakwiatowa.pl","A","4"
69366,"andrewbenton.io","A","null"
32574,"iremote.mypension.ca","A","4"
61373,"fos.transas.com","A","2"
61455,"pay.every-pay.eu","A","4"
69356,"mijndossier.rrn.fgov.be","A","4"
17082,"imw.tuwien.ac.at","A","4"
61449,"skysense.aero","A","4"
32609,"elite-market.pro","A","4"
61470,"belgium.be","A","2"
17085,"medieval-empires.online","A","4"
32614,"tips.taxeo.com","A","4"
4439,"onemobile.ocbcnisp.com","A","4"
6118,"mail.qq.com","A","2"
17101,"stsint.abb.com","A","2"
69327,"zerex.cz","A","4"
32622,"www.hammertime.dance","A","4"
61503,"tochko.com","A","4"
61507,"airsegshccdmz.kidsheart.com","A","2"
69322,"ffhy.loyaltyplus.aero","A","4"
61511,"secure.bornem.be","A","2"
61516,"compliance.rtrtg.de","A","4"
9015,"caditspa.dev.sentinelcloud.com","A","4"
17095,"dev.pierreclouet.fr","A","4"
17100,"demo2.schoolhub.vieracom.com","A","4"
32628,"www.iij.ad.jp","A","4"
61521,"ftgfop.net","A","4"
61520,"mikehuckabee.com","A","2"
61527,"gandengtangan.org","A","4"
37258,"rollcall.website","A","4"
61538,"video.saxion.nl","A","4"
61537,"preprod.crit-job.com","A","4"
17106,"kot-integration.kymeta.io","A","2"
32624,"www.gulliver.hu","A","2"
61541,"www.nzfilm.co.nz","A","4"
69289,"uk.axon.com","A","2"
61551,"opac.hfpv-hessen.de","A","2"
61553,"loadedbaze.net","A","4"
61558,"jeb2016.com","A","4"
17103,"hostingclerk.com","A","2"
61554,"www.aalter.be","A","2"
61568,"rickperry.org","A","4"
5602,"stonehippo.com","A","4"
17049,"www.designernews.co","A","2"
61567,"www.delphi-dialogen.nl","A","4"
61579,"shiftthetimber.com","A","4"
32648,"bitreiter.de","A","4"
9964,"play.google.com","A","2"
61591,"gurcharn.com","A","4"
2248,"outlook.office365.com","A","2"
4960,"www.kieszo.nl","A","4"
69246,"gis-hwv.hatzfeldt.de","A","4"
9014,"mcplayz.com","A","2"
17003,"mondermato.fr","A","4"
21827,"lamposelvitys.lamit.fi","A","2"
32662,"ceres.porrimahr.com","A","4"
61590,"sede.ulpgc.es","A","4"
61595,"www.kiwisaver.govt.nz","A","2"
61599,"vidit.si","A","4"
61596,"franklincenterhq.org","A","2"
61600,"sdw-schweiz.de","A","4"
9018,"blog.docksal.io","A","4"
10475,"www.seoprix.com","A","4"
61554,"www.aalter.be","A","2"
61586,"preview.broodjestrevi.be","A","4"
32669,"medtronic.asandk.com","A","2"
4967,"www.teen-porn-tube.com","A","4"
17108,"auth.lelystad.nl","A","4"
17430,"tumblr.com","A","2"
61443,"dev.shiveh.com","A","4"
61617,"old.alyacom.fr","A","4"
45789,"selea.se","A","4"
61620,"www.exaprobe.com","A","2"
9030,"toconquer.space","A","4"
3114,"www.pdsgateway.com.ph","A","2"
3129,"www.pdssettle.com.ph","A","2"
32677,"bigmirledy.com","A","4"
32680,"mybluefiles.com","A","4"
2262,"evil-inc.com","A","4"
17119,"courseroot.com","A","4"
32682,"www.oxcartpermits.com","A","2"
61633,"lifebit.io","A","4"
61637,"interviewmocha.com","A","2"
61627,"cvtask.in","A","2"
17116,"www.davidbioux.fr","A","4"
32692,"ppp-certification.com","A","4"
60099,"stage.registernow.com.au","A","4"
60496,"www.krackattacks.com","A","4"
17132,"jasec.tuwien.ac.at","A","4"
61640,"benhcuatoi.com","A","4"
61652,"cn.legerdesheils.nl","A","2"
4974,"authentication.decisionresourcesgroup.com","A","2"
32437,"iisfm.nic.in","A","2"
61661,"xonxon.net","A","4"
32689,"www.humannova.nl","A","4"
32694,"webcentrum.muni.cz","A","2"
9038,"speedbooksonline.com","A","2"
32712,"www.witseducation.com","A","2"
61676,"lsq-test1.jemmic.com","A","2"
17137,"www.service-iphone.gr","A","2"
61678,"plex.davanture.fr","A","null"
32705,"2017.nethui.nz","A","4"
61679,"samlink.fi","A","4"
61680,"showroom.adform.com","A","4"
1152,"portail.lasource.ch","A","2"
4979,"office.werkbonapp.nl","A","4"
4981,"elifetechnology.eu.teamwork.com","A","2"
15040,"portal2.healthmanagement.org.uk","A","2"
61674,"www.sansiri.com","A","2"
61684,"crepemerinos.com","A","4"
61683,"orgaknife.com","A","null"
61686,"www.interhecs.com","A","4"
17156,"find.synology.com","A","2"
61690,"barisno.com","A","4"
61648,"wanashop.com.mx","A","2"
32341,"usehtech.com","A","4"
32719,"kb.sucuri.net","A","2"
61694,"www.tescolotus.com","A","2"
9040,"sovaweb.com","A","4"
32724,"abbottstore.com","A","4"
61676,"lsq-test1.jemmic.com","A","4"
61702,"www.ratgeber-verbraucherzentrale.de","A","4"
69107,"www.matchingpool.nl","A","4"
61706,"correio.museu-goeldi.br","A","4"
61703,"akvavostok.ru","A","4"
61715,"www.giustizia.it","A","4"
7010,"mysmurf.com","A","4"
3840,"tashkent.publicvm.com","A","4"
32728,"static.newstube.ru","A","2"
69094,"www.quotidiano.net","A","4"
8085,"go.foxus.lt","A","2"
61732,"www.scsfdx.org","A","2"
32714,"mail.gov.in","A","4"
61739,"powershell.org","A","4"
61742,"received-btc.com","A","2"
10094,"www.thecanvasprinter.com","A","2"
32731,"www.junbi-tracker.com","A","4"
32736,"one.mclaren.org","A","2"
61749,"www.bluetonemedia.com","A","4"
17172,"buitendienst.trivire.nl","A","2"
61763,"www.nsubmit.com","A","2"
61768,"rentagreementregistration.com","A","4"
61769,"w-group.net","A","4"
61767,"www.wkepu.com","A","2"
32759,"mail.razvetka.ru","A","2"
54568,"eva.istmein.de","A","4"
69071,"aagag.com","A","4"
61776,"tuscanavilla.co.za","A","4"
61775,"wilma.turku.fi","A","2"
32766,"muva.co.ke","A","2"
61790,"secure.emaximation.com","A","2"
61788,"sqore.com","A","2"
61789,"yatd.ru","A","2"
2260,"www.johnhoey.co.uk","A","2"
17168,"ga.unco.edu","A","4"
14012,"mail.tutanota.com","A","2"
32765,"www.koekelberg.be","A","2"
61794,"getsafe.eu","A","4"
46824,"irs.gov","A","2"
17180,"securefiles.syncsort.com","A","4"
20500,"asexport.net","A","2"
61813,"cloud.adfc-berlin.de","A","2"
61815,"kumbox.med.uni-muenchen.de","A","2"
61816,"chocolatdesprinces.fr","A","4"
61823,"eminza.com","A","2"
61819,"www.royalintercityexpress.com","A","4"
17184,"www.dobell.nl","A","2"
69025,"www.sepp-sarah.de","A","2"
32749,"blogs.manageengine.com","A","2"
69021,"razor.iway.ch","A","2"
32782,"remote.athene.de","A","4"
61725,"minemeld.deps.no","A","4"
32786,"edutrainingcenter.withgoogle.com","A","2"
69018,"alfa.microton.cz","A","2"
32781,"techcom.co","A","4"
61830,"alternativlos.cdn.as250.net","A","4"
61838,"xlb10.pass-xml.com","A","4"
61846,"ramottamado.cf","A","4"
37906,"edinarcoin.com","A","2"
61847,"stash.computas.com","A","4"
2275,"cdn.silodrome.com","A","2"
16670,"www.csif.es","A","4"
32792,"www.v24partner.net","A","4"
61725,"minemeld.deps.no","A","null"
61848,"www.oddfellows.co.uk","A","4"
35265,"supplier.amd.com","A","4"
61859,"gingerjoos.com","A","4"
32793,"checkvist.com","A","4"
61849,"slovacky.denik.cz","A","4"
68994,"www.itsdone.at","A","4"
61725,"minemeld.deps.no","A","4"
17189,"times.mk.ua","A","4"
32794,"e-prodesign.net","A","4"
39535,"fc2.com","A","2"
61865,"www.malimo.co","A","4"
61828,"lubsws03.leeds.ac.uk","A","4"
61872,"staywarm.co","A","4"
61875,"homolog.reserve.com.br","A","4"
32810,"www.dataart.com","A","2"
32807,"hrus.org","A","4"
61885,"chat2-santander.imperdible.cl","A","2"
61880,"www.priceline.com","A","2"
61888,"binocrea.com","A","4"
61884,"theis.eu","A","2"
