"domainhistory","url","rating","hstsPolicy status"
6,"server.fiscalon.be","A","""absent"""
30,"weighanchor.us","A","""absent"""
39,"serverdomain.net","A","""absent"""
165,"secure.terramia.com","A","""absent"""
1543,"anymoments.de","A","""absent"""
1559,"cimis-mobile.casil.ucdavis.edu","A","""absent"""
2,"trailgenius.com","A","""absent"""
325,"www.infozine.be","A","""absent"""
570,"aero-signs.api-dev.honeywell.com","A","""absent"""
1161,"wildcatengineeringconsultants.com","A","""absent"""
224,"onvotar.garantiespelreferendum.com","A","""absent"""
4955,"www.fleettracker.in","A","""absent"""
9000,"marcianosmx.com","A","""absent"""
16867,"www.smart-roots.net","A","""absent"""
32593,"www.mojebanka.cz","A","""absent"""
61442,"weiterbildungsguide.test.de","A","""present"""
61447,"www.baleares-ferry.com","A","""absent"""
61452,"pocztakwiatowa.pl","A","""absent"""
1465,"meet.telenor.com.mm","A","null"
32574,"iremote.mypension.ca","A","""present"""
61373,"fos.transas.com","A","""absent"""
1528,"galeria.cuiket.com.br","A","""absent"""
1521,"lastminutetheatretickets.com","A","""absent"""
61455,"pay.every-pay.eu","A","""absent"""
17082,"imw.tuwien.ac.at","A","""absent"""
61449,"skysense.aero","A","""absent"""
1512,"chat.stackexchange.com","A","""absent"""
32609,"elite-market.pro","A","""absent"""
61470,"belgium.be","A","""absent"""
17085,"medieval-empires.online","A","""absent"""
32614,"tips.taxeo.com","A","""absent"""
4439,"onemobile.ocbcnisp.com","A","""present"""
6118,"mail.qq.com","A","""absent"""
17101,"stsint.abb.com","A","""absent"""
1477,"www.scholasticahq.com","A","""absent"""
32622,"www.hammertime.dance","A","""absent"""
61503,"tochko.com","A","""absent"""
61507,"airsegshccdmz.kidsheart.com","A","""absent"""
61511,"secure.bornem.be","A","""absent"""
61516,"compliance.rtrtg.de","A","""absent"""
9015,"caditspa.dev.sentinelcloud.com","A","""absent"""
17095,"dev.pierreclouet.fr","A","""absent"""
17100,"demo2.schoolhub.vieracom.com","A","""absent"""
32628,"www.iij.ad.jp","A","""absent"""
61521,"ftgfop.net","A","""absent"""
61520,"mikehuckabee.com","A","""absent"""
61527,"gandengtangan.org","A","""absent"""
37258,"rollcall.website","A","""present"""
61538,"video.saxion.nl","A","""absent"""
61537,"preprod.crit-job.com","A","""absent"""
17106,"kot-integration.kymeta.io","A","""absent"""
32624,"www.gulliver.hu","A","""absent"""
61541,"www.nzfilm.co.nz","A","""absent"""
61551,"opac.hfpv-hessen.de","A","""absent"""
61553,"loadedbaze.net","A","""unknown"""
61558,"jeb2016.com","A","""absent"""
17103,"hostingclerk.com","A","""absent"""
61554,"www.aalter.be","A","""invalid"""
61568,"rickperry.org","A","""absent"""
5602,"stonehippo.com","A","""absent"""
17049,"www.designernews.co","A","""absent"""
61567,"www.delphi-dialogen.nl","A","""absent"""
61579,"shiftthetimber.com","A","""absent"""
32648,"bitreiter.de","A","""absent"""
9964,"play.google.com","A","""absent"""
61591,"gurcharn.com","A","""absent"""
2248,"outlook.office365.com","A","""invalid"""
4960,"www.kieszo.nl","A","""present"""
9014,"mcplayz.com","A","""absent"""
17003,"mondermato.fr","A","""absent"""
1305,"dev.usehaystack.com","A","""absent"""
32662,"ceres.porrimahr.com","A","""absent"""
1418,"vpn.gus.ca","A","""absent"""
61590,"sede.ulpgc.es","A","""absent"""
61595,"www.kiwisaver.govt.nz","A","""absent"""
61599,"vidit.si","A","""absent"""
61596,"franklincenterhq.org","A","""absent"""
61600,"sdw-schweiz.de","A","""absent"""
9018,"blog.docksal.io","A","""absent"""
10475,"www.seoprix.com","A","""absent"""
61554,"www.aalter.be","A","""present"""
61586,"preview.broodjestrevi.be","A","""absent"""
32669,"medtronic.asandk.com","A","""absent"""
4967,"www.teen-porn-tube.com","A","""present"""
17108,"auth.lelystad.nl","A","""absent"""
17430,"tumblr.com","A","""absent"""
61443,"dev.shiveh.com","A","""absent"""
61617,"old.alyacom.fr","A","""absent"""
45789,"selea.se","A","""absent"""
61620,"www.exaprobe.com","A","""absent"""
9030,"toconquer.space","A","""absent"""
3114,"www.pdsgateway.com.ph","A","""absent"""
3129,"www.pdssettle.com.ph","A","""absent"""
32677,"bigmirledy.com","A","""absent"""
1376,"ebtcert10.cdpehs.com","A","""absent"""
32680,"mybluefiles.com","A","""absent"""
2262,"evil-inc.com","A","""absent"""
17119,"courseroot.com","A","""absent"""
32682,"www.oxcartpermits.com","A","""absent"""
61633,"lifebit.io","A","""absent"""
61637,"interviewmocha.com","A","""absent"""
61627,"cvtask.in","A","""absent"""
1360,"www.ibookfreight.com","A","""absent"""
1359,"technoguns.com","A","""absent"""
17116,"www.davidbioux.fr","A","""absent"""
32692,"ppp-certification.com","A","""absent"""
60099,"stage.registernow.com.au","A","""absent"""
60496,"www.krackattacks.com","A","""absent"""
17132,"jasec.tuwien.ac.at","A","""absent"""
61640,"benhcuatoi.com","A","""absent"""
61652,"cn.legerdesheils.nl","A","""absent"""
4974,"authentication.decisionresourcesgroup.com","A","""absent"""
1334,"oc.pothmann.net","A","""absent"""
32437,"iisfm.nic.in","A","""absent"""
61661,"xonxon.net","A","""absent"""
32689,"www.humannova.nl","A","""absent"""
32694,"webcentrum.muni.cz","A","""absent"""
9038,"speedbooksonline.com","A","""absent"""
32712,"www.witseducation.com","A","""absent"""
61676,"lsq-test1.jemmic.com","A","""absent"""
17137,"www.service-iphone.gr","A","""absent"""
