"freq","issuerLabel"
"16131","""Let's Encrypt Authority X3"""
"7676","""COMODO RSA Domain Validation Secure Server CA"""
"5435","""Go Daddy Secure Certificate Authority - G2"""
"3348","""Symantec Class 3 Secure Server CA - G4"""
"2439","""RapidSSL SHA256 CA"""
"2330","""COMODO ECC Domain Validation Secure Server CA 2"""
"2214","""DigiCert SHA2 Secure Server CA"""
"1931","""GeoTrust SSL CA - G3"""
"1721","""COMODO RSA Organization Validation Secure Server CA"""
"1585","null"
"1493","""Symantec Class 3 EV SSL CA - G3"""
"1465","""thawte SSL CA - G2"""
"1431","""GlobalSign Organization Validation CA - SHA256 - G2"""
"1405","""Entrust Certification Authority - L1K"""
"1357","""DigiCert SHA2 High Assurance Server CA"""
"1260","""cPanel, Inc. Certification Authority"""
"1146","""AlphaSSL CA - SHA256 - G2"""
"742","""GlobalSign Domain Validation CA - SHA256 - G2"""
"734","""Amazon"""
"694","""COMODO RSA Extended Validation Secure Server CA"""
"674","""DigiCert SHA2 Extended Validation Server CA"""
"643","""COMODO RSA Domain Validation Secure Server CA 2"""
"630","""RapidSSL SHA256 CA - G3"""
"534","""RapidSSL SHA256 CA - G2"""
"520","""GeoTrust EV SSL CA - G4"""
"495","""Starfield Secure Certificate Authority - G2"""
"491","""GeoTrust DV SSL CA - G3"""
"486","""thawte SHA256 SSL CA"""
"407","""Symantec Class 3 Secure Server SHA256 SSL CA"""
"364","""thawte DV SSL CA - G2"""
"350","""Gandi Standard SSL CA 2"""
"349","""thawte EV SSL CA - G3"""
"346","""Entrust Certification Authority - L1M"""
"334","""Network Solutions OV Server CA 2"""
"315","""GlobalSign Extended Validation CA - SHA256 - G3"""
"308","""GlobalSign CloudSSL CA - SHA256 - G3"""
"284","""InCommon RSA Server CA"""
"276","""thawte DV SSL SHA256 CA"""
"256","""TERENA SSL CA 3"""
"254","""Symantec Basic DV SSL CA - G2"""
"241","""GeoTrust SHA256 SSL CA"""
"230","""Symantec Class 3 Extended Validation SHA256 SSL CA"""
"227","""Certum Domain Validation CA SHA2"""
"204","""Google Internet Authority G2"""
"181","""CloudFlare Inc RSA CA-1"""
"180","""Trusted Secure Certificate Authority 5"""
"179","""Microsoft IT SSL SHA2"""
"150","""GlobalSign Extended Validation CA - SHA256 - G2"""
"143","""GeoTrust DV SSL SHA256 CA"""
"142","""Trustwave Organization Validation SHA256 CA, Level 1"""
"141","""QuoVadis Global SSL ICA G2"""
"121","""TrustAsia DV SSL CA - G5"""
"117","""TWCA Secure SSL Certification Authority"""
"116","""UbiquiTLS\u2122 DV RSA Server CA"""
"115","""GeoTrust Extended Validation SHA256 SSL CA"""
"115","""TERENA SSL High Assurance CA 3"""
"108","""Symantec Basic DV SSL CA - G1"""
"107","""Certyfikat SSL"""
"106","""QuoVadis EV SSL ICA G1"""
"105","""Google Internet Authority G3"""
"92","""thawte Extended Validation SHA256 SSL CA"""
"91","""Network Solutions DV Server CA 2"""
"80","""CLASS 2 KEYNECTIS CA"""
"79","""Trust Provider B.V. DV SSL CA - G2"""
"77","""RapidSSL SHA256 CA - G4"""
"72","""Certum Organization Validation CA SHA2"""
"71","""Cybertrust Japan Public CA G3"""
"70","""COMODO SHA-256 Domain Validation Secure Server CA"""
"70","""TERENA SSL CA 2"""
"66","""COMODO ECC Domain Validation Secure Server CA"""
"65","""StartCom Class 1 DV Server CA"""
"64","""GeoTrust DV SSL CA - G4"""
"64","""DFN-Verein Global Issuing CA"""
"62","""SSL.com DV CA"""
"59","""SwissSign Server Gold CA 2014 - G22"""
"55","""nazwaSSL"""
"52","""QuoVadis PKIoverheid Organisatie Server CA - G3"""
"52","""Camerfirma Corporate Server II - 2015"""
"52","""Actalis Authentication CA G3"""
"49","""\u884c\u653f\u9662"""
"48","""localhost"""
"48","""TeleSec ServerPass CA 2"""
"45","""QuoVadis Global SSL ICA G3"""
"44","""TeleSec ServerPass Class 2 CA"""
"43","""Verizon Public SureServer CA G14-SHA2"""
"42","""DOD ID SW CA-38"""
"41","""KPN BV PKIoverheid Organisatie Server CA - G3"""
"41","""ICPEdu"""
"40","""Chunghwa Telecom Co., Ltd."""
"39","""Certigna Services CA"""
"38","""Certum Extended Validation CA SHA2"""
"38","""DOMENY SSL DV Certification Authority"""
"37","""KPN Corporate Market CSP Organisatie CA - G2"""
"36","""Fake LE Intermediate X1"""
"35","""D-TRUST SSL Class 3 CA 1 2009"""
"34","""SwissSign Server Silver CA 2014 - G22"""
"33","""KPN PKIoverheid Organisatie CA - G2"""
"33","""DigiCert Baltimore CA-2 G2"""
"32","""Hongkong Post e-Cert CA 1 - 15"""
"32","""RapidSSL CA"""
"31","""FNMT-RCM"""
"31","""WoSign OV SSL CA"""
"30","""NetLock Expressz (Class C) Tan\u00fas\u00edtv\u00e1nykiad\u00f3"""
"29","""USERTrust RSA Domain Validation Secure Server CA"""
"28","""ACCVCA-120"""
"28","""NetLock \u00dczleti (Class B) Tan\u00fas\u00edtv\u00e1nykiad\u00f3"""
"27","""FujiSSL Public Certification Authority - G1"""
"26","""StartCom BR SSL ICA"""
"26","""Parallels Panel"""
"26","""RU-CENTER High Assurance Services CA 2"""
"26","""DigiCert Cloud Services CA-1"""
"26","""TeliaSonera Server CA v2"""
"26","""Network Solutions EV Server CA 2"""
"26","""Actalis Domain Validation Server CA G1"""
"25","""USERTrust RSA Organization Validation Secure Server CA"""
"25","""QuoVadis Europe SSL CA G1"""
"25","""D-TRUST SSL Class 3 CA 1 EV 2009"""
"25","""QuoVadis CSP - PKI Overheid CA - G2"""
"25","""Cybertrust Japan EV CA G2"""
"24","""Plesk"""
"24","""NII Open Domain CA - G4"""
"23","""SECOM Passport for Web SR 3.0 CA"""
"23","""PositiveSSL CA 2"""
"23","""Go Daddy Secure Certification Authority"""
"22","""Gandi Pro SSL CA 2"""
"22","""TI Trust Technologies Global CA"""
"21","""Buypass Class 3 CA 2"""
"21","""Trend Micro S2 CA"""
"21","""HydrantID SSL ICA G2"""
"20","""UIS-IsuB1-CA"""
"20","""TeleSec ServerPass DE-2"""
"20","""StartCom Class 3 OV Server CA"""
"20","""DOD ID SW CA-37"""
"20","""WoSign CA Free SSL Certificate G2"""
"20","""COMODO RSA Extended Validation Secure Server CA 2"""
"19","""Wells Fargo Certificate Authority WS1"""
"19","""Trustwave Domain Validation SHA256 CA, Level 1"""
"19","""CloudFlare, Inc."""
"18","""Siemens Issuing CA Internet Server 2017"""
"18","""Autoridade Certificadora do SERPRORFB SSL"""
"18","""Verizon Public SureServer EV SSL CA G14-SHA2"""
"18","""Entrust Certification Authority - L1C"""
"17","""GeoTrust SSL CA - G2"""
"17","""EAEko Herri Administrazioen CA - CA AAPP Vascas (2)"""
"17","""SwissSign EV Gold CA 2014 - G22"""
"17","""Yandex CA"""
"17","""StartCom Class 2 IV Server CA"""
"16","""VR IDENT EV SSL CA 2016"""
"16","""SSL Blindado 2"""
"16","""CA de Certificados SSL EV"""
"16","""Digi-Sign CA Digi-SSL"""
"16","""KEYNECTIS Extended Validation CA"""
"16","""Trust Technologies Global CA"""
"15","""Intermediate Certificate DV SSL CA - G2"""
"15","""QuoVadis EV SSL ICA G3"""
"15","""AffirmTrust Certificate Authority - OV1"""
"14","""Swiss Government Public Trust Standard CA 02"""
"14","""Buypass Class 2 CA 2"""
"13","""NetLock OnlineSSL (Class Online) Tan\u00fas\u00edtv\u00e1nykiad\u00f3"""
"13","""Trustwave Extended Validation SHA256 CA, Level 1"""
"13","""TrustID Server CA A52"""
"13","""AC Administraci\u00f3n P\u00fablica"""
"13","""EuropeanSSL Server CA 2"""
"13","""AffirmTrust Extended Validation CA - EV1"""
"13","""COMODO High-Assurance Secure Server CA"""
"13","""VeriSign Class 3 Secure Server CA - G3"""
"12","""GeoTrust SSL CA"""
"12","""VeriSign Class 3 International Server CA - G3"""
"12","""GlobalSign Domain Validation CA - G2"""
"12","""GlobeSSL DV Certification Authority 2"""
"12","""SignSec Certification Authority"""
"12","""Camerfirma AAPP II - 2014"""
"12","""Microsoft IT TLS CA 5"""
"12","""www.lh.pl"""
"12","""www.example.com"""
"12","""Microsoft IT TLS CA 4"""
"11","""COMODO SHA-256 Organization Validation Secure Server CA"""
"11","""SecureCore RSA DV CA"""
"11","""FortiGate CA"""
"11","""e-Szigno SSL CA 2014"""
"11","""McAfee OV SSL CA 2"""
"11","""CA134100031"""
"11","""COMODO ECC Organization Validation Secure Server CA"""
"11","""KPN PKIoverheid EV CA"""
"10","""(n)Code Solutions CA SPL 2015"""
"10","""localhost.localdomain"""
"10","""CA131100001"""
"10","""CA Cert Signing Authority"""
"10","""webserver.ispgateway.de"""
"10","""RHRK-CA - G02"""
"10","""StartCom Class 1 Primary Intermediate Server CA"""
"10","""Symantec Class 3 ECC 256 bit EV CA - G2"""
"10","""CAcert Class 3 Root"""
"10","""SpaceSSL CA"""
"9","""GeoTrust DV SSL CA"""
"9","""MULTICERT Certification Authority 002"""
"9","""*"""
"9","""DigiCert ECC Secure Server CA"""
"9","""MarketWare - Solu\u00e7\u00f5es para Mercados Digitais, Lda. RSA EV CA"""
